               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.022602,            0.011823,          0.00051009,             0.97078,             0.96879,             0.96868,             0.42309,            0.034102,            0.005833,          0.00013239,           0.0026943,           0.0026943,           0.0026943
                  52,             0.02254,            0.010646,          0.00030251,             0.96304,             0.95832,             0.95415,             0.38847,            0.035219,           0.0059776,          0.00014534,           0.0025393,           0.0025393,           0.0025393
                  53,            0.022412,           0.0096545,          0.00046703,             0.96536,             0.96596,             0.96424,              0.4228,            0.035523,           0.0059659,          0.00013972,           0.0023902,           0.0023902,           0.0023902
                  54,            0.022323,            0.010329,          0.00034716,             0.97129,              0.9699,             0.97004,             0.43682,            0.035104,           0.0059639,          0.00014598,           0.0022474,           0.0022474,           0.0022474
                  55,            0.021904,            0.010092,          0.00037609,             0.96799,              0.9629,             0.96235,             0.39893,            0.035247,            0.006066,          0.00010523,           0.0021112,           0.0021112,           0.0021112
                  56,            0.022088,            0.011014,          0.00029597,             0.95948,             0.95963,             0.95448,             0.40645,            0.036348,           0.0064891,          0.00014673,           0.0019818,           0.0019818,           0.0019818
                  57,            0.021728,            0.010175,          0.00032833,             0.96359,             0.96029,             0.95661,             0.42366,            0.035491,           0.0060157,          0.00018966,           0.0018594,           0.0018594,           0.0018594
                  58,            0.021555,            0.011157,          0.00041473,             0.97671,             0.97382,              0.9704,             0.44585,            0.034233,           0.0060491,           0.0001171,           0.0017444,           0.0017444,           0.0017444
                  59,            0.020894,            0.011869,          0.00037639,             0.96884,             0.96421,             0.95658,             0.41234,            0.035048,           0.0060765,          0.00013591,            0.001637,            0.001637,            0.001637
                  60,            0.021714,           0.0090629,          0.00035786,             0.97412,             0.96983,             0.96396,             0.41605,            0.035361,           0.0060945,          0.00010685,           0.0015373,           0.0015373,           0.0015373
                  61,            0.021693,            0.011159,          0.00033765,             0.96481,             0.96094,             0.95643,             0.41139,             0.03549,           0.0061835,          0.00016504,           0.0014456,           0.0014456,           0.0014456
                  62,              0.0214,            0.010254,          0.00029618,              0.9689,             0.96139,             0.96004,             0.41603,            0.035596,           0.0062528,          0.00012567,           0.0013621,           0.0013621,           0.0013621
                  63,            0.021653,            0.011173,          0.00037559,             0.97071,             0.96466,             0.95749,             0.40355,            0.035192,           0.0060986,          0.00012406,           0.0012869,           0.0012869,           0.0012869
                  64,            0.020831,           0.0095216,          0.00029049,             0.97199,             0.97316,             0.96648,             0.41801,            0.035136,           0.0063096,          9.0743e-05,           0.0012202,           0.0012202,           0.0012202
                  65,            0.021161,             0.01093,          0.00035959,             0.97025,             0.96683,             0.95749,              0.4141,            0.034588,           0.0061065,             8.8e-05,           0.0011622,           0.0011622,           0.0011622
                  66,            0.021086,            0.010932,          0.00032166,             0.97533,             0.97709,             0.96823,             0.43264,            0.034499,           0.0060505,          8.5678e-05,           0.0011128,           0.0011128,           0.0011128
                  67,             0.02131,           0.0098759,          0.00020466,             0.97027,             0.96859,             0.96375,             0.42149,            0.035461,           0.0063682,          9.1501e-05,           0.0010723,           0.0010723,           0.0010723
                  68,            0.021658,             0.01238,          0.00024296,              0.9597,             0.95826,             0.95198,             0.40299,            0.036645,            0.006573,          0.00011142,           0.0010407,           0.0010407,           0.0010407
                  69,            0.020707,           0.0088243,          0.00024367,             0.97353,             0.97118,             0.96153,             0.42586,            0.034828,           0.0061008,          9.8115e-05,           0.0010181,           0.0010181,           0.0010181
